1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
C8:84:A1:CE:B5:42,-83,3,3,108,30,16,48,0,95,4294967295,4294967295
C8:84:A1:CE:B5:44,-83,3,3,108,174,16,48,0,239,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,54,16,48,0,119,4294967295,4294967295
3C:41:0E:FF:23:84,-76,3,3,108,115,16,48,0,180,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,131,16,48,0,197,4294967295,4294967295
3C:41:0E:FF:23:84,-77,3,3,108,146,16,48,0,211,4294967295,4294967295
04:27:A2:47:00:00,-78,3,3,108,81,16,48,0,146,4294967295,4294967295
A0:46:88:F6:F4:81,-86,3,3,108,104,16,48,0,169,4294967295,4294967295
D8:7C:82:1E:94:54,-79,3,3,108,82,16,2,0,148,4294967295,4294967295
A0:46:88:F6:27:03,-85,3,3,108,189,16,48,0,254,4294967295,4294967295
B6:36:6F:E1:94:54,-85,3,3,108,11,16,24,0,76,4294967295,4294967295
04:6C:59:1C:47:9C,-84,3,3,108,147,16,48,0,212,4294967295,4294967295
29:C8:02:31:00:7F,-81,3,3,108,84,16,2,0,149,4294967295,4294967295
A4:88:73:9C:AD:00,-79,3,3,108,189,16,48,0,254,4294967295,4294967295
A4:88:73:9C:AD:01,-77,3,3,108,79,16,48,0,144,4294967295,4294967295
A4:88:73:9C:AD:02,-77,3,3,108,236,16,48,0,45,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,125,16,48,0,190,4294967295,4294967295
D8:7C:82:1E:05:00,-81,3,3,108,124,16,2,0,190,4294967295,4294967295
A0:46:88:F6:FF:FF,-85,3,3,108,253,16,48,0,63,4294967295,4294967295
9E:18:88:BE:72:5E,-80,3,3,108,167,16,24,0,232,4294967295,4294967295
A0:46:88:F6:4F:4A,-85,3,3,108,89,16,48,0,154,4294967295,4294967295
3C:41:0E:FF:23:80,-76,3,3,108,130,16,48,0,195,4294967295,4294967295
3C:41:0E:FE:F4:80,-86,3,3,108,46,16,48,0,111,4294967295,4294967295
